STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PAY_PERIOD,Pay period,PRICE_BASE,Price base,AGGREGATION_OPERATION,Aggregation operation,SEX,Sex,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,1995,,4546.93767798817,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,1996,,4523.53746894282,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,1997,,4740.99470760772,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,1998,,4841.29214960252,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,1999,,4900.53829580535,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2000,,4884.02110786271,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2001,,4971.83935919843,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2002,,4909.77012557681,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2003,,4946.0658188174,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2004,,4889.32744492446,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2005,,4925.97477187015,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2006,,4979.37197973108,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2007,,5023.21566059849,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2008,,5124.52924352584,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2009,,5186.49603670995,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2010,,5370.62936006528,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2011,,5439.44186249679,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2012,,5531.55135992343,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2013,,5579.20192251715,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2014,,5555.38196237563,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2015,,5886.75358186019,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2016,,6052.95812653674,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2017,,5956.12796618049,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2018,,5968.29576963537,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2019,,6002.30356111048,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2020,,6109.51729621724,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2021,,6914.90827632738,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,CRI,Costa Rica,SM_WG,Statutory minimum wages,USD_EXC,"US dollars, exchange rate converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,2022,,6519.92983951941,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,JPN,Japan,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,1977,,7756.13177301102,,2021,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@RMW(1.0),Real minimum wages at constant prices,I,JPN,Japan,SM_WG,Statutory minimum wages,USD_PPP,"US dollars, PPP converted",A,Annual,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,1978,,8143.47465699524,,2021,,A,Normal value,0,Units,0,Zero
